row_type,setting,instance,run,seed,iterations,cost,tardiness,makespan,runtime,feasible,average_cost,best_cost,std_cost
run,short,PSSAI_PMS_j10_m3_r0_1,1,1,5000,2754,475,2279,0.177,True,,,
run,short,PSSAI_PMS_j10_m3_r0_1,2,2,5000,2754,475,2279,0.173,True,,,
run,short,PSSAI_PMS_j10_m3_r0_1,3,3,5000,2754,475,2279,0.171,True,,,
run,short,PSSAI_PMS_j10_m3_r0_1,4,4,5000,2754,475,2279,0.169,True,,,
run,short,PSSAI_PMS_j10_m3_r0_1,5,5,5000,2754,475,2279,0.171,True,,,
summary,short,PSSAI_PMS_j10_m3_r0_1,,,5000,,,,,,2754.000,2754,0.000
run,default,PSSAI_PMS_j10_m3_r0_1,1,1,10000,2697,502,2195,0.347,True,,,
run,default,PSSAI_PMS_j10_m3_r0_1,2,2,10000,2697,502,2195,0.344,True,,,
run,default,PSSAI_PMS_j10_m3_r0_1,3,3,10000,2697,502,2195,0.345,True,,,
run,default,PSSAI_PMS_j10_m3_r0_1,4,4,10000,2697,502,2195,0.346,True,,,
run,default,PSSAI_PMS_j10_m3_r0_1,5,5,10000,2697,502,2195,0.344,True,,,
summary,default,PSSAI_PMS_j10_m3_r0_1,,,10000,,,,,,2697.000,2697,0.000
run,hot,PSSAI_PMS_j10_m3_r0_1,1,1,10000,2697,502,2195,0.344,True,,,
run,hot,PSSAI_PMS_j10_m3_r0_1,2,2,10000,2697,502,2195,0.375,True,,,
run,hot,PSSAI_PMS_j10_m3_r0_1,3,3,10000,2697,502,2195,0.369,True,,,
run,hot,PSSAI_PMS_j10_m3_r0_1,4,4,10000,2697,502,2195,0.386,True,,,
run,hot,PSSAI_PMS_j10_m3_r0_1,5,5,10000,2697,502,2195,0.364,True,,,
summary,hot,PSSAI_PMS_j10_m3_r0_1,,,10000,,,,,,2697.000,2697,0.000
run,short,PSSAI_PMS_j10_m3_r0_2,1,1,5000,6050,3347,2703,0.204,True,,,
run,short,PSSAI_PMS_j10_m3_r0_2,2,2,5000,6050,3347,2703,0.200,True,,,
run,short,PSSAI_PMS_j10_m3_r0_2,3,3,5000,6050,3347,2703,0.201,True,,,
run,short,PSSAI_PMS_j10_m3_r0_2,4,4,5000,6050,3347,2703,0.203,True,,,
run,short,PSSAI_PMS_j10_m3_r0_2,5,5,5000,6050,3347,2703,0.201,True,,,
summary,short,PSSAI_PMS_j10_m3_r0_2,,,5000,,,,,,6050.000,6050,0.000
run,default,PSSAI_PMS_j10_m3_r0_2,1,1,10000,6050,3347,2703,0.410,True,,,
run,default,PSSAI_PMS_j10_m3_r0_2,2,2,10000,6050,3347,2703,0.412,True,,,
run,default,PSSAI_PMS_j10_m3_r0_2,3,3,10000,6050,3347,2703,0.397,True,,,
run,default,PSSAI_PMS_j10_m3_r0_2,4,4,10000,6050,3347,2703,0.396,True,,,
run,default,PSSAI_PMS_j10_m3_r0_2,5,5,10000,6050,3347,2703,0.399,True,,,
summary,default,PSSAI_PMS_j10_m3_r0_2,,,10000,,,,,,6050.000,6050,0.000
run,hot,PSSAI_PMS_j10_m3_r0_2,1,1,10000,6050,3347,2703,0.400,True,,,
run,hot,PSSAI_PMS_j10_m3_r0_2,2,2,10000,6050,3347,2703,0.401,True,,,
run,hot,PSSAI_PMS_j10_m3_r0_2,3,3,10000,6050,3347,2703,0.402,True,,,
run,hot,PSSAI_PMS_j10_m3_r0_2,4,4,10000,6050,3347,2703,0.447,True,,,
run,hot,PSSAI_PMS_j10_m3_r0_2,5,5,10000,6050,3347,2703,0.470,True,,,
summary,hot,PSSAI_PMS_j10_m3_r0_2,,,10000,,,,,,6050.000,6050,0.000
run,short,PSSAI_PMS_j10_m3_r1_5,1,1,5000,3380,258,3122,0.373,True,,,
run,short,PSSAI_PMS_j10_m3_r1_5,2,2,5000,3380,258,3122,0.436,True,,,
run,short,PSSAI_PMS_j10_m3_r1_5,3,3,5000,3380,258,3122,0.369,True,,,
run,short,PSSAI_PMS_j10_m3_r1_5,4,4,5000,3380,258,3122,0.361,True,,,
run,short,PSSAI_PMS_j10_m3_r1_5,5,5,5000,3380,258,3122,0.345,True,,,
summary,short,PSSAI_PMS_j10_m3_r1_5,,,5000,,,,,,3380.000,3380,0.000
run,default,PSSAI_PMS_j10_m3_r1_5,1,1,10000,3380,258,3122,0.681,True,,,
run,default,PSSAI_PMS_j10_m3_r1_5,2,2,10000,3380,258,3122,0.660,True,,,
run,default,PSSAI_PMS_j10_m3_r1_5,3,3,10000,3380,258,3122,0.658,True,,,
run,default,PSSAI_PMS_j10_m3_r1_5,4,4,10000,3380,258,3122,0.689,True,,,
run,default,PSSAI_PMS_j10_m3_r1_5,5,5,10000,3380,258,3122,0.656,True,,,
summary,default,PSSAI_PMS_j10_m3_r1_5,,,10000,,,,,,3380.000,3380,0.000
run,hot,PSSAI_PMS_j10_m3_r1_5,1,1,10000,3380,258,3122,0.649,True,,,
run,hot,PSSAI_PMS_j10_m3_r1_5,2,2,10000,3380,258,3122,0.640,True,,,
run,hot,PSSAI_PMS_j10_m3_r1_5,3,3,10000,3380,258,3122,0.637,True,,,
run,hot,PSSAI_PMS_j10_m3_r1_5,4,4,10000,3380,258,3122,0.731,True,,,
run,hot,PSSAI_PMS_j10_m3_r1_5,5,5,10000,3380,258,3122,0.737,True,,,
summary,hot,PSSAI_PMS_j10_m3_r1_5,,,10000,,,,,,3380.000,3380,0.000
run,short,PSSAI_PMS_j10_m3_r2_3,1,1,5000,4009,1710,2299,0.908,True,,,
run,short,PSSAI_PMS_j10_m3_r2_3,2,2,5000,4009,1710,2299,0.899,True,,,
run,short,PSSAI_PMS_j10_m3_r2_3,3,3,5000,4009,1710,2299,0.925,True,,,
run,short,PSSAI_PMS_j10_m3_r2_3,4,4,5000,4009,1710,2299,0.949,True,,,
run,short,PSSAI_PMS_j10_m3_r2_3,5,5,5000,4009,1710,2299,0.936,True,,,
summary,short,PSSAI_PMS_j10_m3_r2_3,,,5000,,,,,,4009.000,4009,0.000
run,default,PSSAI_PMS_j10_m3_r2_3,1,1,10000,4009,1710,2299,1.894,True,,,
run,default,PSSAI_PMS_j10_m3_r2_3,2,2,10000,4009,1710,2299,1.829,True,,,
run,default,PSSAI_PMS_j10_m3_r2_3,3,3,10000,4009,1710,2299,1.898,True,,,
run,default,PSSAI_PMS_j10_m3_r2_3,4,4,10000,4009,1710,2299,1.849,True,,,
run,default,PSSAI_PMS_j10_m3_r2_3,5,5,10000,4009,1710,2299,1.897,True,,,
summary,default,PSSAI_PMS_j10_m3_r2_3,,,10000,,,,,,4009.000,4009,0.000
run,hot,PSSAI_PMS_j10_m3_r2_3,1,1,10000,4009,1710,2299,1.935,True,,,
run,hot,PSSAI_PMS_j10_m3_r2_3,2,2,10000,4009,1710,2299,1.862,True,,,
run,hot,PSSAI_PMS_j10_m3_r2_3,3,3,10000,4009,1710,2299,1.905,True,,,
