row_type,setting,instance,run,seed,iterations,cost,tardiness,makespan,runtime,feasible,average_cost,best_cost,std_cost
run,default,PSSAI_PMS_j50_m1_r5_3,1,1,3000,42708,541,42167,1.860,True,,,
run,default,PSSAI_PMS_j50_m1_r5_3,2,2,3000,45276,782,44494,1.718,True,,,
run,default,PSSAI_PMS_j50_m1_r5_3,3,3,3000,43998,661,43337,1.866,True,,,
run,default,PSSAI_PMS_j50_m1_r5_3,4,4,3000,45542,2206,43336,1.734,True,,,
run,default,PSSAI_PMS_j50_m1_r5_3,5,5,3000,44685,1645,43040,1.875,True,,,
summary,default,PSSAI_PMS_j50_m1_r5_3,,,3000,,,,,,44441.800,42708,1136.716
run,default,PSSAI_PMS_j50_m2_r8_1,1,1,3000,27350,5407,21943,6.286,True,,,
run,default,PSSAI_PMS_j50_m2_r8_1,2,2,3000,23740,3065,20675,3.857,True,,,
run,default,PSSAI_PMS_j50_m2_r8_1,3,3,3000,23234,1306,21928,3.857,True,,,
run,default,PSSAI_PMS_j50_m2_r8_1,4,4,3000,23285,1569,21716,3.081,True,,,
run,default,PSSAI_PMS_j50_m2_r8_1,5,5,3000,25227,1858,23369,4.746,True,,,
summary,default,PSSAI_PMS_j50_m2_r8_1,,,3000,,,,,,24567.200,23234,1752.500
run,default,PSSAI_PMS_j50_m5_r5_5,1,1,3000,29050,18279,10771,2.662,True,,,
run,default,PSSAI_PMS_j50_m5_r5_5,2,2,3000,30939,21687,9252,2.748,True,,,
run,default,PSSAI_PMS_j50_m5_r5_5,3,3,3000,26884,17059,9825,2.591,True,,,
run,default,PSSAI_PMS_j50_m5_r5_5,4,4,3000,29084,19875,9209,2.665,True,,,
run,default,PSSAI_PMS_j50_m5_r5_5,5,5,3000,27557,17647,9910,2.685,True,,,
summary,default,PSSAI_PMS_j50_m5_r5_5,,,3000,,,,,,28702.800,26884,1572.207
run,default,PSSAI_PMS_j50_m5_r8_2,1,1,3000,14747,5220,9527,3.270,True,,,
run,default,PSSAI_PMS_j50_m5_r8_2,2,2,3000,15307,6270,9037,3.045,True,,,
run,default,PSSAI_PMS_j50_m5_r8_2,3,3,3000,15489,5979,9510,3.167,True,,,
run,default,PSSAI_PMS_j50_m5_r8_2,4,4,3000,15134,6153,8981,2.817,True,,,
run,default,PSSAI_PMS_j50_m5_r8_2,5,5,3000,18476,7752,10724,3.401,True,,,
summary,default,PSSAI_PMS_j50_m5_r8_2,,,3000,,,,,,15830.600,14747,1504.030
run,default,PSSAI_PMS_j50_m5_r8_4,1,1,3000,32390,21749,10641,12.317,True,,,
run,default,PSSAI_PMS_j50_m5_r8_4,2,2,3000,34717,24425,10292,31.661,True,,,
run,default,PSSAI_PMS_j50_m5_r8_4,3,3,3000,35994,25804,10190,20.104,True,,,
run,default,PSSAI_PMS_j50_m5_r8_4,4,4,3000,28430,19506,8924,10.372,True,,,
run,default,PSSAI_PMS_j50_m5_r8_4,5,5,3000,29517,18709,10808,21.725,True,,,
summary,default,PSSAI_PMS_j50_m5_r8_4,,,3000,,,,,,32209.600,28430,3247.182
